Freq.	-V(in)/I(Vsource)	V(out)
1.00000000000000e+01	3.33292900049517e+06,-3.40971130294088e+03	9.90673090648446e-01,1.60666906566210e-02
1.00695555005672e+01	3.33292896882028e+06,-3.42361575096588e+03	9.90676608050813e-01,1.59557652479168e-02
1.01395947979003e+01	3.33292893673395e+06,-3.43768468505312e+03	9.90680077052059e-01,1.58456049129237e-02
1.02101212570719e+01	3.33292890423000e+06,-3.45191878445495e+03	9.90683498317840e-01,1.57362043903826e-02
1.02811382665607e+01	3.33292887130220e+06,-3.46631873083216e+03	9.90686872504769e-01,1.56275584548946e-02
1.03526492384138e+01	3.33292883794422e+06,-3.48088521788896e+03	9.90690200260296e-01,1.55196619166800e-02
1.04246576084112e+01	3.33292880414963e+06,-3.49561894535112e+03	9.90693482223141e-01,1.54125096213461e-02
1.04971668362307e+01	3.33292876991196e+06,-3.51052062137471e+03	9.90696719023105e-01,1.53060964496483e-02
1.05701804056138e+01	3.33292873522462e+06,-3.52559096134170e+03	9.90699911281360e-01,1.52004173172586e-02
1.06437018245336e+01	3.33292870008093e+06,-3.54083068785997e+03	9.90703059610646e-01,1.50954671745349e-02
1.07177346253629e+01	3.33292866447416e+06,-3.55624053558077e+03	9.90706164615159e-01,1.49912410062870e-02
1.07922823650443e+01	3.33292862839746e+06,-3.57182124276814e+03	9.90709226890853e-01,1.48877338315505e-02
1.08673486252606e+01	3.33292859184388e+06,-3.58757356093386e+03	9.90712247025483e-01,1.47849407033569e-02
1.09429370126074e+01	3.33292855480642e+06,-3.60349824158932e+03	9.90715225598674e-01,1.46828567085079e-02
1.10190511587661e+01	3.33292851727794e+06,-3.61959605671991e+03	9.90718163182187e-01,1.45814769673514e-02
1.10956947206785e+01	3.33292847925124e+06,-3.63586777710623e+03	9.90721060339827e-01,1.44807966335558e-02
1.11728713807222e+01	3.33292844071901e+06,-3.65231418075473e+03	9.90723917627756e-01,1.43808108938904e-02
1.12505848468881e+01	3.33292840167384e+06,-3.66893606132832e+03	9.90726735594372e-01,1.42815149680009e-02
1.13288388529580e+01	3.33292836210823e+06,-3.68573421610259e+03	9.90729514780604e-01,1.41829041081933e-02
1.14076371586842e+01	3.33292832201459e+06,-3.70270945198771e+03	9.90732255719917e-01,1.40849735992136e-02
1.14869835499704e+01	3.33292828138519e+06,-3.71986258552839e+03	9.90734958938492e-01,1.39877187580328e-02
1.15668818390529e+01	3.33292824021223e+06,-3.73719444410827e+03	9.90737624955214e-01,1.38911349336291e-02
1.16473358646846e+01	3.33292819848780e+06,-3.75470585511051e+03	9.90740254281915e-01,1.37952175067764e-02
1.17283494923188e+01	3.33292815620389e+06,-3.77239766037029e+03	9.90742847423267e-01,1.36999618898284e-02
1.18099266142953e+01	3.33292811335236e+06,-3.79027071376606e+03	9.90745404877114e-01,1.36053635265106e-02
1.18920711500272e+01	3.33292806992498e+06,-3.80832586797138e+03	9.90747927134453e-01,1.35114178917080e-02
1.19747870461893e+01	3.33292802591340e+06,-3.82656399613369e+03	9.90750414679456e-01,1.34181204912563e-02
1.20580782769076e+01	3.33292798130917e+06,-3.84498597260427e+03	9.90752867989677e-01,1.33254668617349e-02
1.21419488439505e+01	3.33292793610371e+06,-3.86359268136886e+03	9.90755287536130e-01,1.32334525702614e-02
1.22264027769207e+01	3.33292789028834e+06,-3.88238501484329e+03	9.90757673783351e-01,1.31420732142856e-02
1.23114441334492e+01	3.33292784385424e+06,-3.90136388230407e+03	9.90760027189411e-01,1.30513244213853e-02
1.23970769993899e+01	3.33292779679251e+06,-3.92053018820965e+03	9.90762348206192e-01,1.29612018490666e-02
1.24833054890161e+01	3.33292774909409e+06,-3.93988485869663e+03	9.90764637279300e-01,1.28717011845600e-02
1.25701337452183e+01	3.33292770074981e+06,-3.95942882110539e+03	9.90766894848218e-01,1.27828181446221e-02
1.26575659397028e+01	3.33292765175038e+06,-3.97916301361508e+03	9.90769121346428e-01,1.26945484753371e-02
1.27456062731927e+01	3.33292760208640e+06,-3.99908838644798e+03	9.90771317201375e-01,1.26068879519184e-02
1.28342589756291e+01	3.33292755174830e+06,-4.01920589705196e+03	9.90773482834712e-01,1.25198323785145e-02
1.29235283063750e+01	3.33292750072643e+06,-4.03951651130487e+03	9.90775618662211e-01,1.24333775880121e-02
1.30134185544194e+01	3.33292744901097e+06,-4.06002120110579e+03	9.90777725094010e-01,1.23475194418448e-02
1.31039340385837e+01	3.33292739659198e+06,-4.08072095882747e+03	9.90779802534534e-01,1.22622538297987e-02
1.31950791077290e+01	3.33292734345940e+06,-4.10161677322884e+03	9.90781851382730e-01,1.21775766698233e-02
1.32868581409652e+01	3.33292728960300e+06,-4.12270964992937e+03	9.90783872031945e-01,1.20934839078395e-02
1.33792755478612e+01	3.33292723501245e+06,-4.14400060297843e+03	9.90785864870197e-01,1.20099715175531e-02
1.34723357686569e+01	3.33292717967723e+06,-4.16549065846840e+03	9.90787830280198e-01,1.19270355002668e-02
1.35660432744768e+01	3.33292712358674e+06,-4.18718084008213e+03	9.90789768639304e-01,1.18446718846926e-02
1.36604025675440e+01	3.33292706673017e+06,-4.20907219799796e+03	9.90791680319740e-01,1.17628767267687e-02
1.37554181813975e+01	3.33292700909662e+06,-4.23116578118906e+03	9.90793565688599e-01,1.16816461094746e-02
1.38510946811093e+01	3.33292695067499e+06,-4.25346264946716e+03	9.90795425107918e-01,1.16009761426485e-02
1.39474366635041e+01	3.33292689145407e+06,-4.27596387830004e+03	9.90797258934808e-01,1.15208629628070e-02
1.40444487573800e+01	3.33292683142247e+06,-4.29867054074587e+03	9.90799067521362e-01,1.14413027329625e-02
1.41421356237310e+01	3.33292677056866e+06,-4.32158373635821e+03	9.90800851214961e-01,1.13622916424467e-02
1.42405019559708e+01	3.33292670888093e+06,-4.34470456348537e+03	9.90802610358056e-01,1.12838259067301e-02
1.43395524801583e+01	3.33292664634744e+06,-4.36803413131413e+03	9.90804345288544e-01,1.12059017672478e-02
1.44392919552250e+01	3.33292658295616e+06,-4.39157356468721e+03	9.90806056339586e-01,1.11285154912218e-02
1.45397251732032e+01	3.33292651869492e+06,-4.41532398483326e+03	9.90807743839763e-01,1.10516633714868e-02
1.46408569594563e+01	3.33292645355135e+06,-4.43928654670248e+03	9.90809408113169e-01,1.09753417263180e-02
1.47426921729111e+01	3.33292638751297e+06,-4.46346238597408e+03	9.90811049479390e-01,1.08995468992569e-02
1.48452357062905e+01	3.33292632056704e+06,-4.48785267927501e+03	9.90812668253679e-01,1.08242752589422e-02
1.49484924863494e+01	3.33292625270073e+06,-4.51245858757431e+03	9.90814264746913e-01,1.07495231989382e-02
1.50524674741107e+01	3.33292618390098e+06,-4.53728129833624e+03	9.90815839265739e-01,1.06752871375670e-02
1.51571656651040e+01	3.33292611415458e+06,-4.56232200143272e+03	9.90817392112495e-01,1.06015635177389e-02
1.52625920896057e+01	3.33292604344811e+06,-4.58758190118707e+03	9.90818923585445e-01,1.05283488067878e-02
1.53687518128802e+01	3.33292597176799e+06,-4.61306221396526e+03	9.90820433978713e-01,1.04556394963043e-02
1.54756499354240e+01	3.33292589910045e+06,-4.63876415733648e+03	9.90821923582395e-01,1.03834321019714e-02
1.55832915932101e+01	3.33292582543151e+06,-4.66468897175186e+03	9.90823392682592e-01,1.03117231634011e-02
1.56916819579351e+01	3.33292575074702e+06,-4.69083790368324e+03	9.90824841561422e-01,1.02405092439712e-02
1.58008262372676e+01	3.33292567503264e+06,-4.71721220080560e+03	9.90826270497230e-01,1.01697869306657e-02
1.59107296750984e+01	3.33292559827379e+06,-4.74381314210641e+03	9.90827679764415e-01,1.00995528339123e-02
1.60213975517925e+01	3.33292552045576e+06,-4.77064198971066e+03	9.90829069633680e-01,1.00298035874248e-02
1.61328351844426e+01	3.33292544156354e+06,-4.79770005391697e+03	9.90830440371949e-01,9.96053584804409e-03
1.62450479271248e+01	3.33292536158201e+06,-4.82498861852647e+03	9.90831792242532e-01,9.89174629558134e-03
1.63580411711557e+01	3.33292528049579e+06,-4.85250899865260e+03	9.90833125505067e-01,9.82343163266148e-03
1.64718203453515e+01	3.33292519828930e+06,-4.88026251422498e+03	9.90834440415648e-01,9.75558858456843e-03
1.65863909162889e+01	3.33292511494672e+06,-4.90825050444175e+03	9.90835737226833e-01,9.68821389909083e-03
1.67017583885675e+01	3.33292503045205e+06,-4.93647431331717e+03	9.90837016187724e-01,9.62130434636916e-03
1.68179283050744e+01	3.33292494478906e+06,-4.96493528968147e+03	9.90838277543971e-01,9.55485671874324e-03
1.69349062472506e+01	3.33292485794128e+06,-4.99363480645091e+03	9.90839521537852e-01,9.48886783060141e-03
1.70526978353592e+01	3.33292476989201e+06,-5.02257424376642e+03	9.90840748408330e-01,9.42333451823080e-03
1.71713087287552e+01	3.33292468062433e+06,-5.05175498899364e+03	9.90841958391056e-01,9.35825363966758e-03
