frequency	V(onoise)
1.000000000000000e+01	1.375960e-09
1.006955550056719e+01	1.373824e-09
1.013959479790029e+01	1.371714e-09
1.021012125707193e+01	1.369629e-09
1.028113826656067e+01	1.367571e-09
1.035264923841378e+01	1.365537e-09
1.042465760841122e+01	1.363529e-09
1.049716683623068e+01	1.361545e-09
1.057018040561381e+01	1.359586e-09
1.064370182453360e+01	1.357651e-09
1.071773462536294e+01	1.355739e-09
1.079228236504428e+01	1.353852e-09
1.086734862526059e+01	1.351988e-09
1.094293701260741e+01	1.350147e-09
1.101905115876612e+01	1.348329e-09
1.109569472067846e+01	1.346533e-09
1.117287138072221e+01	1.344760e-09
1.125058484688811e+01	1.343009e-09
1.132883885295800e+01	1.341280e-09
1.140763715868425e+01	1.339572e-09
1.148698354997036e+01	1.337886e-09
1.156688183905289e+01	1.336221e-09
1.164733586468457e+01	1.334577e-09
1.172834949231880e+01	1.332953e-09
1.180992661429532e+01	1.331350e-09
1.189207115002723e+01	1.329767e-09
1.197478704618931e+01	1.328204e-09
1.205807827690762e+01	1.326661e-09
1.214194884395049e+01	1.325137e-09
1.222640277692071e+01	1.323632e-09
1.231144413344919e+01	1.322147e-09
1.239707699938989e+01	1.320680e-09
1.248330548901614e+01	1.319232e-09
1.257013374521831e+01	1.317802e-09
1.265756593970283e+01	1.316390e-09
1.274560627319265e+01	1.314997e-09
1.283425897562907e+01	1.313621e-09
1.292352830637495e+01	1.312262e-09
1.301341855441937e+01	1.310921e-09
1.310393403858367e+01	1.309597e-09
1.319507910772898e+01	1.308290e-09
1.328685814096515e+01	1.307000e-09
1.337927554786116e+01	1.305726e-09
1.347233576865694e+01	1.304468e-09
1.356604327447676e+01	1.303227e-09
1.366040256754400e+01	1.302001e-09
1.375541818139748e+01	1.300791e-09
1.385109468110929e+01	1.299597e-09
1.394743666350410e+01	1.298418e-09
1.404444875738002e+01	1.297255e-09
1.414213562373100e+01	1.296106e-09
1.424050195597077e+01	1.294972e-09
1.433955248015832e+01	1.293853e-09
1.443929195522501e+01	1.292748e-09
1.453972517320316e+01	1.291658e-09
1.464085695945631e+01	1.290581e-09
1.474269217291107e+01	1.289519e-09
1.484523570629055e+01	1.288470e-09
1.494849248634944e+01	1.287435e-09
1.505246747411073e+01	1.286413e-09
1.515716566510404e+01	1.285405e-09
1.526259208960565e+01	1.284409e-09
1.536875181288019e+01	1.283427e-09
1.547564993542396e+01	1.282457e-09
1.558329159321007e+01	1.281501e-09
1.569168195793509e+01	1.280556e-09
1.580082623726761e+01	1.279624e-09
1.591072967509845e+01	1.278704e-09
1.602139755179252e+01	1.277796e-09
1.613283518444261e+01	1.276900e-09
1.624504792712479e+01	1.276015e-09
1.635804117115570e+01	1.275143e-09
1.647182034535155e+01	1.274281e-09
1.658639091628892e+01	1.273431e-09
1.670175838856748e+01	1.272592e-09
1.681792830507438e+01	1.271764e-09
1.693490624725064e+01	1.270947e-09
1.705269783535923e+01	1.270141e-09
1.717130872875517e+01	1.269345e-09
1.729074462615740e+01	1.268560e-09
1.741101126592258e+01	1.267785e-09
1.753211442632080e+01	1.267020e-09
1.765405992581320e+01	1.266265e-09
1.777685362333151e+01	1.265520e-09
1.790050141855955e+01	1.264786e-09
1.802500925221671e+01	1.264060e-09
1.815038310634333e+01	1.263345e-09
1.827662900458812e+01	1.262639e-09
1.840375301249762e+01	1.261942e-09
1.853176123780754e+01	1.261254e-09
1.866065983073627e+01	1.260576e-09
1.879045498428036e+01	1.259906e-09
1.892115293451204e+01	1.259245e-09
1.905275996087888e+01	1.258593e-09
1.918528238650542e+01	1.257950e-09
1.931872657849705e+01	1.257315e-09
1.945309894824585e+01	1.256689e-09
1.958840595173868e+01	1.256071e-09
1.972465408986733e+01	1.255461e-09
1.986184990874087e+01	1.254859e-09
2.000000000000015e+01	1.254266e-09
2.013911100113453e+01	1.253680e-09
2.027918959580074e+01	1.253102e-09
2.042024251414402e+01	1.252532e-09
2.056227653312149e+01	1.251969e-09
2.070529847682771e+01	1.251414e-09
2.084931521682260e+01	1.250866e-09
2.099433367246152e+01	1.250325e-09
2.114036081122778e+01	1.249792e-09
2.128740364906737e+01	1.249266e-09
2.143546925072604e+01	1.248747e-09
2.158456473008872e+01	1.248234e-09
2.173469725052134e+01	1.247729e-09
2.188587402521497e+01	1.247230e-09
2.203810231753240e+01	1.246738e-09
2.219138944135709e+01	1.246253e-09
2.234574276144459e+01	1.245774e-09
2.250116969377639e+01	1.245302e-09
2.265767770591617e+01	1.244836e-09
2.281527431736868e+01	1.244376e-09
2.297396709994091e+01	1.243922e-09
2.313376367810596e+01	1.243474e-09
2.329467172936933e+01	1.243033e-09
2.345669898463779e+01	1.242597e-09
2.361985322859083e+01	1.242167e-09
2.378414230005464e+01	1.241743e-09
2.394957409237880e+01	1.241325e-09
2.411615655381544e+01	1.240912e-09
2.428389768790117e+01	1.240505e-09
2.445280555384161e+01	1.240103e-09
2.462288826689857e+01	1.239706e-09
2.479415399877998e+01	1.239315e-09
2.496661097803249e+01	1.238930e-09
2.514026749043682e+01	1.238549e-09
2.531513187940586e+01	1.238174e-09
2.549121254638550e+01	1.237803e-09
2.566851795125835e+01	1.237438e-09
2.584705661275011e+01	1.237077e-09
2.602683710883894e+01	1.236722e-09
2.620786807716754e+01	1.236371e-09
2.639015821545817e+01	1.236025e-09
2.657371628193052e+01	1.235684e-09
2.675855109572253e+01	1.235347e-09
2.694467153731410e+01	1.235015e-09
2.713208654895374e+01	1.234687e-09
2.732080513508821e+01	1.234363e-09
2.751083636279518e+01	1.234044e-09
2.770218936221881e+01	1.233730e-09
2.789487332700843e+01	1.233419e-09
2.808889751476027e+01	1.233113e-09
2.828427124746223e+01	1.232811e-09
2.848100391194177e+01	1.232513e-09
2.867910496031688e+01	1.232219e-09
2.887858391045026e+01	1.231929e-09
2.907945034640656e+01	1.231643e-09
2.928171391891286e+01	1.231361e-09
2.948538434582238e+01	1.231083e-09
2.969047141258134e+01	1.230808e-09
2.989698497269913e+01	1.230537e-09
3.010493494822171e+01	1.230270e-09
3.031433133020834e+01	1.230006e-09
3.052518417921156e+01	1.229746e-09
3.073750362576063e+01	1.229490e-09
3.095129987084819e+01	1.229237e-09
3.116658318642039e+01	1.228987e-09
3.138336391587043e+01	1.228741e-09
3.160165247453549e+01	1.228498e-09
3.182145935019716e+01	1.228259e-09
3.204279510358530e+01	1.228022e-09
3.226567036888547e+01	1.227789e-09
3.249009585424984e+01	1.227559e-09
3.271608234231167e+01	1.227333e-09
3.294364069070336e+01	1.227109e-09
3.317278183257811e+01	1.226888e-09
3.340351677713522e+01	1.226671e-09
3.363585661014903e+01	1.226456e-09
3.386981249450155e+01	1.226244e-09
3.410539567071874e+01	1.226035e-09
3.434261745751062e+01	1.225829e-09
3.458148925231508e+01	1.225626e-09
3.482202253184544e+01	1.225425e-09
3.506422885264188e+01	1.225227e-09
3.530811985162668e+01	1.225032e-09
3.555370724666330e+01	1.224840e-09
3.580100283711940e+01	1.224650e-09
3.605001850443372e+01	1.224463e-09
3.630076621268694e+01	1.224278e-09
3.655325800917654e+01	1.224096e-09
3.680750602499553e+01	1.223916e-09
3.706352247561536e+01	1.223739e-09
3.732131966147283e+01	1.223564e-09
3.758090996856102e+01	1.223392e-09
3.784230586902439e+01	1.223222e-09
3.810551992175805e+01	1.223054e-09
3.837056477301114e+01	1.222889e-09
3.863745315699439e+01	1.222725e-09
3.890619789649200e+01	1.222564e-09
