Freq.	-V(out)/I(Vtest)
1.00000000000000e+01	1.25611739304955e+02,-1.58795510461694e+03
1.00695555005672e+01	1.25264233017318e+02,-1.57699178486026e+03
1.01395947979003e+01	1.24921508582863e+02,-1.56610408140322e+03
1.02101212570719e+01	1.24583500233148e+02,-1.55529147424776e+03
1.02811382665607e+01	1.24250143103415e+02,-1.54455344693996e+03
1.03526492384138e+01	1.23921373220199e+02,-1.53388948654658e+03
1.04246576084112e+01	1.23597127489099e+02,-1.52329908363162e+03
1.04971668362307e+01	1.23277343682728e+02,-1.51278173223320e+03
1.05701804056138e+01	1.22961960428818e+02,-1.50233692984042e+03
1.06437018245336e+01	1.22650917198488e+02,-1.49196417737043e+03
1.07177346253629e+01	1.22344154294677e+02,-1.48166297914567e+03
1.07922823650443e+01	1.22041612840737e+02,-1.47143284287120e+03
1.08673486252606e+01	1.21743234769176e+02,-1.46127327961214e+03
1.09429370126074e+01	1.21448962810550e+02,-1.45118380377138e+03
1.10190511587661e+01	1.21158740482520e+02,-1.44116393306723e+03
1.10956947206785e+01	1.20872512079053e+02,-1.43121318851141e+03
1.11728713807222e+01	1.20590222659768e+02,-1.42133109438704e+03
1.12505848468881e+01	1.20311818039434e+02,-1.41151717822680e+03
1.13288388529580e+01	1.20037244777594e+02,-1.40177097079124e+03
1.14076371586842e+01	1.19766450168363e+02,-1.39209200604723e+03
1.14869835499704e+01	1.19499382230333e+02,-1.38247982114653e+03
1.15668818390529e+01	1.19235989696637e+02,-1.37293395640447e+03
1.16473358646846e+01	1.18976222005139e+02,-1.36345395527882e+03
1.17283494923188e+01	1.18720029288757e+02,-1.35403936434872e+03
1.18099266142953e+01	1.18467362365933e+02,-1.34468973329382e+03
1.18920711500272e+01	1.18218172731216e+02,-1.33540461487349e+03
1.19747870461893e+01	1.17972412545982e+02,-1.32618356490619e+03
1.20580782769076e+01	1.17730034629274e+02,-1.31702614224894e+03
1.21419488439505e+01	1.17490992448787e+02,-1.30793190877697e+03
1.22264027769207e+01	1.17255240111954e+02,-1.29890042936345e+03
1.23114441334492e+01	1.17022732357158e+02,-1.28993127185938e+03
1.23970769993899e+01	1.16793424545081e+02,-1.28102400707355e+03
1.24833054890161e+01	1.16567272650147e+02,-1.27217820875274e+03
1.25701337452183e+01	1.16344233252106e+02,-1.26339345356190e+03
1.26575659397028e+01	1.16124263527715e+02,-1.25466932106460e+03
1.27456062731927e+01	1.15907321242538e+02,-1.24600539370348e+03
1.28342589756291e+01	1.15693364742872e+02,-1.23740125678090e+03
1.29235283063750e+01	1.15482352947756e+02,-1.22885649843969e+03
1.30134185544194e+01	1.15274245341115e+02,-1.22037070964403e+03
1.31039340385837e+01	1.15069001964003e+02,-1.21194348416043e+03
1.31950791077290e+01	1.14866583406945e+02,-1.20357441853887e+03
1.32868581409652e+01	1.14666950802393e+02,-1.19526311209401e+03
1.33792755478612e+01	1.14470065817284e+02,-1.18700916688658e+03
1.34723357686569e+01	1.14275890645696e+02,-1.17881218770482e+03
1.35660432744768e+01	1.14084388001609e+02,-1.17067178204612e+03
1.36604025675440e+01	1.13895521111765e+02,-1.16258756009870e+03
1.37554181813975e+01	1.13709253708611e+02,-1.15455913472344e+03
1.38510946811093e+01	1.13525550023377e+02,-1.14658612143587e+03
1.39474366635041e+01	1.13344374779203e+02,-1.13866813838818e+03
1.40444487573800e+01	1.13165693184383e+02,-1.13080480635145e+03
1.41421356237310e+01	1.12989470925711e+02,-1.12299574869791e+03
1.42405019559708e+01	1.12815674161896e+02,-1.11524059138337e+03
1.43395524801583e+01	1.12644269517084e+02,-1.10753896292973e+03
1.44392919552250e+01	1.12475224074461e+02,-1.09989049440762e+03
1.45397251732032e+01	1.12308505369943e+02,-1.09229481941918e+03
1.46408569594563e+01	1.12144081385962e+02,-1.08475157408086e+03
1.47426921729111e+01	1.11981920545324e+02,-1.07726039700646e+03
1.48452357062905e+01	1.11821991705160e+02,-1.06982092929015e+03
1.49484924863494e+01	1.11664264150958e+02,-1.06243281448971e+03
1.50524674741107e+01	1.11508707590679e+02,-1.05509569860982e+03
1.51571656651040e+01	1.11355292148942e+02,-1.04780923008545e+03
1.52625920896057e+01	1.11203988361314e+02,-1.04057305976542e+03
1.53687518128802e+01	1.11054767168646e+02,-1.03338684089600e+03
1.54756499354240e+01	1.10907599911508e+02,-1.02625022910461e+03
1.55832915932101e+01	1.10762458324706e+02,-1.01916288238375e+03
1.56916819579351e+01	1.10619314531845e+02,-1.01212446107487e+03
1.58008262372676e+01	1.10478141040004e+02,-1.00513462785244e+03
1.59107296750984e+01	1.10338910734448e+02,-9.98193047708108e+02
1.60213975517925e+01	1.10201596873445e+02,-9.91299387934980e+02
1.61328351844426e+01	1.10066173083130e+02,-9.84453318111950e+02
1.62450479271248e+01	1.09932613352448e+02,-9.77654510088181e+02
1.63580411711557e+01	1.09800892028173e+02,-9.70902637967673e+02
1.64718203453515e+01	1.09670983809985e+02,-9.64197378093928e+02
1.65863909162889e+01	1.09542863745619e+02,-9.57538409034721e+02
1.67017583885675e+01	1.09416507226077e+02,-9.50925411566972e+02
1.68179283050744e+01	1.09291889980920e+02,-9.44358068661712e+02
1.69349062472506e+01	1.09168988073602e+02,-9.37836065469155e+02
1.70526978353592e+01	1.09047777896884e+02,-9.31359089303864e+02
1.71713087287552e+01	1.08928236168314e+02,-9.24926829630014e+02
1.72907446261574e+01	1.08810339925746e+02,-9.18538978046761e+02
1.74110112659226e+01	1.08694066522950e+02,-9.12195228273694e+02
