Freq.	V(out)
1.00000000000000e+01	6.57321049032060e-03,-7.25733880934788e-05
1.00695555005672e+01	6.57319736441841e-03,-7.23412927536523e-05
1.01395947979003e+01	6.57318439696528e-03,-7.21126676568021e-05
1.02101212570719e+01	6.57317158547251e-03,-7.18875019274581e-05
1.02811382665607e+01	6.57315892748167e-03,-7.16657848540627e-05
1.03526492384138e+01	6.57314642056292e-03,-7.14475058884907e-05
1.04246576084112e+01	6.57313406231628e-03,-7.12326546456048e-05
1.04971668362307e+01	6.57312185036952e-03,-7.10212209027837e-05
1.05701804056138e+01	6.57310978237863e-03,-7.08131945994838e-05
1.06437018245336e+01	6.57309785602753e-03,-7.06085658368002e-05
1.07177346253629e+01	6.57308606902705e-03,-7.04073248770254e-05
1.07922823650443e+01	6.57307441911449e-03,-7.02094621432224e-05
1.08673486252606e+01	6.57306290405382e-03,-7.00149682188114e-05
1.09429370126074e+01	6.57305152163450e-03,-6.98238338471471e-05
1.10190511587661e+01	6.57304026967174e-03,-6.96360499311204e-05
1.10956947206785e+01	6.57302914600545e-03,-6.94516075327504e-05
1.11728713807222e+01	6.57301814850041e-03,-6.92704978727984e-05
1.12505848468881e+01	6.57300727504549e-03,-6.90927123303779e-05
1.13288388529580e+01	6.57299652355303e-03,-6.89182424425718e-05
1.14076371586842e+01	6.57298589195912e-03,-6.87470799040680e-05
1.14869835499704e+01	6.57297537822300e-03,-6.85792165667916e-05
1.15668818390529e+01	6.57296498032566e-03,-6.84146444395343e-05
1.16473358646846e+01	6.57295469627142e-03,-6.82533556876243e-05
1.17283494923188e+01	6.57294452408549e-03,-6.80953426325589e-05
1.18099266142953e+01	6.57293446181491e-03,-6.79405977516797e-05
1.18920711500272e+01	6.57292450752800e-03,-6.77891136778393e-05
1.19747870461893e+01	6.57291465931340e-03,-6.76408831990710e-05
1.20580782769076e+01	6.57290491528024e-03,-6.74958992582754e-05
1.21419488439505e+01	6.57289527355760e-03,-6.73541549529084e-05
1.22264027769207e+01	6.57288573229433e-03,-6.72156435346777e-05
1.23114441334492e+01	6.57287628965831e-03,-6.70803584092426e-05
1.23970769993899e+01	6.57286694383632e-03,-6.69482931359245e-05
1.24833054890161e+01	6.57285769303408e-03,-6.68194414274273e-05
1.25701337452183e+01	6.57284853547499e-03,-6.66937971495512e-05
1.26575659397028e+01	6.57283946940088e-03,-6.65713543209329e-05
1.27456062731927e+01	6.57283049307047e-03,-6.64521071127708e-05
1.28342589756291e+01	6.57282160476042e-03,-6.63360498485810e-05
1.29235283063750e+01	6.57281280276369e-03,-6.62231770039354e-05
1.30134185544194e+01	6.57280408539021e-03,-6.61134832062281e-05
1.31039340385837e+01	6.57279545096586e-03,-6.60069632344320e-05
1.31950791077290e+01	6.57278689783243e-03,-6.59036120188715e-05
1.32868581409652e+01	6.57277842434737e-03,-6.58034246410017e-05
1.33792755478612e+01	6.57277002888353e-03,-6.57063963331919e-05
1.34723357686569e+01	6.57276170982848e-03,-6.56125224785126e-05
1.35660432744768e+01	6.57275346558483e-03,-6.55217986105406e-05
1.36604025675440e+01	6.57274529456879e-03,-6.54342204131500e-05
1.37554181813975e+01	6.57273719521158e-03,-6.53497837203426e-05
1.38510946811093e+01	6.57272916595735e-03,-6.52684845160461e-05
1.39474366635041e+01	6.57272120526440e-03,-6.51903189339547e-05
1.40444487573800e+01	6.57271331160331e-03,-6.51152832573453e-05
1.41421356237310e+01	6.57270548345862e-03,-6.50433739189344e-05
1.42405019559708e+01	6.57269771932620e-03,-6.49745875007007e-05
1.43395524801583e+01	6.57269001771544e-03,-6.49089207337603e-05
1.44392919552250e+01	6.57268237714657e-03,-6.48463704982026e-05
1.45397251732032e+01	6.57267479615240e-03,-6.47869338229747e-05
1.46408569594563e+01	6.57266727327683e-03,-6.47306078857423e-05
1.47426921729111e+01	6.57265980707481e-03,-6.46773900127698e-05
1.48452357062905e+01	6.57265239611212e-03,-6.46272776788078e-05
1.49484924863494e+01	6.57264503896551e-03,-6.45802685069879e-05
1.50524674741107e+01	6.57263773422197e-03,-6.45363602687193e-05
